strain	pellet_mig-6_S16	pellet_pos-1_S17	supernatant_pos-1_S27	pellet_mig-6_S37	pellet_pos-1_S38	supernatant_pos-1_S49	pel_pos	sup_pos	pel_mig
AB1	-0.00823162998745548	0.00866808081552303	0.00195892276448218	-0.00182749551298482	0.0112583494404353	0.0022785732260331	0.00996321512797915	0.00211874799525764	-0.00502956275022015
CB4932	-0.0139878882175524	0.00333856552493087	-0.000392862669615926	-0.0139878882175524	-0.0052586383481361	-0.00563488445815669	-0.000960036411602617	-0.00301387356388631	-0.0139878882175524
CX11262	0.0541861686301238	0.0123627113044702	0.0155835444017901	0.0357544867331068	0.00898981731086045	0.00483139303319824	0.0106762643076653	0.0102074687174942	0.0449703276816153
CX11271	-0.0160282507517417	-0.00914478133936919	0.00466885951900544	-0.00988407090192815	-0.0183128908295012	-0.00346361192969134	-0.0137288360844352	0.000602623794657049	-0.0129561608268349
CX11276	-0.013347554329019	-0.00987871377760193	-0.00543031919766981	-0.0146101614029931	-0.00890258661603335	-0.00787712249801222	-0.00939065019681764	-0.00665372084784101	-0.0139788578660061
CX11285	0.00327039864063846	0.000184330956081289	-0.00354313355166559	-0.00299442819664678	0.00260825464690944	-0.00162847773842011	0.00139629280149536	-0.00258580564504285	0.000137985221995843
DL200	0.000319715571400933	-0.000926344529381383	0.000552917129911395	0.0221905773792414	0.0132051248843544	0.00750467241634962	0.00613939017748649	0.00402879477313051	0.0112551464753212
DL226	-0.0325179155500615	0.023893930288616	0.000858302860920215	-0.0338611751138604	0.0455929018038827	0.0192821251488631	0.0347434160462494	0.0100702140048917	-0.033189545331961
ECA191	0.00242634264687742	-0.000132162752482559	-0.000626460969998607	0.00659429031779354	-0.000132162752482559	0.000654879763132323	-0.000132162752482559	1.42093965668576e-05	0.00451031648233548
ECA348	0.00489543680518857	0	-0.00265017522861733	0.0142905186842381	0.00418093163092158	-0.000512907399898046	0.00209046581546079	-0.00158154131425769	0.00959297774471332
ECA349	0.00955804403714383	0.0015768751781349	0.00376822950003982	0.00774828880066439	0.000723908567992704	0.00148074341368788	0.0011503918730638	0.00262448645686385	0.00865316641890411
ECA363	0.00165323865555124	-0.00200056387430428	0.000665991718450587	0.00126439104280425	-0.00205303956195019	0.000740422405960951	-0.00202680171812724	0.000703207062205769	0.00145881484917774
ECA396	0.061843185014093	0.00934196600665571	0.0062641776101478	0.0612950870884132	0.00782359445830639	0.00979539889407826	0.00858278023248105	0.00802978825211303	0.0615691360512531
