strain,Slope_pub,PC1_pub,slope_mip_m,PC1_mip_m,slope_nnls,PC1_nnls
CB4854,-0.023500364,-0.36466885,-0.026103871842923506,-0.3581948173578793,-0.019396007245683414,0.6905432592882839
CB4856,0.110989445,3.341500863,0.12302146494384258,2.1259900368027176,0.13239579415184838,0.9994915915992382
CX11254,0.041327146,-2.934439545,0.045559766078629146,-2.5073455707536483,0.26557257120186256,-1.7491666645821038
CX11264,-0.099393549,-3.759133896,-0.1363227149983507,-3.7239752259449745,-0.10271529981813353,-0.4011501512432898
CX11271,-0.150173707,-4.575919302,-0.1546510641822165,-3.6297004083958293,-0.08260121888624941,1.487856477420957
CX11276,-0.009002079,3.413149192,-0.00442658455005921,3.7456662113266552,0.02265089201877737,1.2890932034722118
CX11285,-0.002760894,0.08709019,0.00627688111787142,-0.013869370937988235,0.16786379296879642,-3.05327603640297
CX11307,0.008974669,3.136037214,-0.01431332388894711,3.102679951834856,-0.025718355516762652,0.9571000152485536
DL200,0.016985176,3.918008325,0.017565495220866978,4.5316252282027465,-0.14970667931715834,0.43171431341584837
DL226,-0.1177276,-2.971729134,-0.13239820876275582,-2.6825347406183693,-0.053303952225029955,2.5377438156308907
DL238,0.157499768,8.005616004,0.18119093292939759,6.142660702399516,0.1769822493515515,1.727276929138589
ECA189,0.054075385,2.626910447,0.0666654355208118,2.286388876248182,0.060464509637556625,-1.0362026365048442
ECA191,0.01555942,-1.629147271,0.029203644835040968,-1.7799887833310846,-0.0014618689354777197,-1.694787342182054
ECA36,0.038530871,-0.725183263,0.0436436822266923,-1.7567051891316432,-0.1920111050657694,-1.2553896540140348
ECA363,-0.04013798,0.048049401,-0.04584999768246141,0.3409607251071401,-0.04052138744030927,0.22981903528009132
ECA369,0.010226558,3.684805729,0.022294038616613557,3.5254076993818098,0.04428999049272704,1.233961936197574
ECA372,-0.072183605,-0.849016581,-0.12117695444843231,-0.9066378352248512,-0.3529467578243491,-1.4492336300074915
ECA396,-0.06761815,-0.368263227,-0.07736364270587401,0.2545428537410386,-0.06543438134023544,0.34294054214902703
ED3017,0.008042072,-0.149423671,-1.9536920714977184e-4,-0.1521281452965844,0.1559820778428212,1.2851665754919332
ED3049,-0.032966279,1.340408147,-0.04035301156580291,1.3584008212160108,-0.6905357170786346,-3.4494751636330565
ED3052,-0.088646987,-1.642941615,-0.1101866985992003,-0.9789261152030204,-0.11477005313332304,0.45091057679977103
ED3077,0.100582264,6.190406368,0.1218314285805064,4.839829057389849,0.16070821552483427,2.1165448637795388
EG4724,0.060854333,2.112567334,0.08186704836360821,1.7052738205627296,0.04922639593758494,0.6509832220542583
EG4725,0.13304007,9.068871516,0.16163566195477197,7.8046728043964215,0.22485104849057352,3.014093322217544
GXW1,-0.045601306,-0.146275055,-0.05714084069320834,0.4722249584112615,-0.017875940878419927,0.44886156182410064
JU1212,-0.071210742,-0.365241929,-0.07418944268158952,0.15105927892112783,-0.04054476230805654,0.14976649015075688
JU1400,-0.107838182,-3.947495923,-0.10625930996365061,-3.6574862619971062,0.21496325079054862,-0.773895992752782
JU1581,-0.113610997,-3.915228906,-0.11689204402217247,-2.8981151415243374,-0.037510854636386176,0.4112841213778899
JU1652,-0.010329181,2.131198445,-0.024000395923784865,2.329969564221415,-0.24073694133319526,0.28571984027373304
JU1793,-0.072758139,0.27439272,-0.0890323483126353,0.43434944815302723,-0.4175890157468026,-1.1454795020576225
JU1896,-0.031635115,-1.14361048,-0.02641954344905507,-1.0173592658684816,-0.0207510766948641,0.15850395503676556
JU2001,-0.018527835,0.42774401,0.003062930121179229,0.4807618979868242,0,0.6471028224955504
JU2007,-0.057227878,-0.696571775,-0.07583714535403735,-0.5898408472398765,-0.2610375317910203,-0.5298880596694021
JU2017,-0.081088082,-2.231871314,-0.11327792325146908,-1.2026272541814071,-0.10503787309956716,0.5204195879667518
JU2106,-0.115823526,-1.474950772,-0.12895734086263264,-1.4794805106426274,-0.6051215010663441,-2.528560859537378
JU2234,0.007524876,-1.030498423,-0.019749900307927445,-1.1563716402931878,-0.2133707601181227,-0.9844118944321157
JU2316,-0.015299386,0.679877039,-0.006758253680371126,0.8320426214442778,0.3181662969343386,-0.32586059661959355
JU2464,-0.0683345,-1.61173903,-0.07777194618801986,-1.021576443763108,-0.08388474425407387,0.4088601653078777
JU2519,0.060697714,4.620836103,0.08180833804282335,3.9703600421420213,0.10093300870482211,1.5478292224148507
JU2526,0.102001142,6.257550175,0.11846102103616854,5.350507478855359,0.09993882120860774,1.056762289082427
JU2576,-0.016061618,0.11523178,-0.0284107320753225,0.2357007327472857,-0.04316908405437825,0.029288521665717486
JU258,-0.150557169,-3.593657934,-0.1810123626253508,-3.046692078026838,-0.317541146317197,-1.055570042327327
JU2592,-0.113296238,-3.974033901,-0.14590515475458576,-3.40915905609132,-0.326403877229434,-3.059059257325722
JU2593,-0.036941186,0.332641003,-0.04328115041758521,0.031174791456077197,-0.012442048647846041,0.4780009270277775
