Strain	Set
AB1
CB4932
CX11262
CX11271
CX11276
CX11285
CX11292
DL200
DL226
ECA191
ECA259
ECA348
ECA349
ECA363
ECA396
ED3005
ED3011
ED3012
ED3048
ED3049
ED3073
ED3077
EG4946
GXW1
JU1088
JU1172
JU1200
JU1242
JU1491
JU1543
JU1568
JU1580
JU1586
JU1652
JU1666
JU1792
JU1808
JU1896
JU2001
JU2007
JU2016
JU2250
JU2466
JU2519
JU2534
JU2565
JU2578
JU2581
JU2800
JU2811
JU2906
JU310
JU311
JU3125
JU3127
JU3137
JU642
MY2212
MY2453
MY2530
MY2693
MY2741
MY679
MY920
NIC195
NIC2
NIC207
NIC251
NIC260
NIC261
NIC262
NIC265
NIC266
NIC271
NIC276
NIC523
NIC526
NIC527
NIC528
NIC529
PB303
PX179
QG2075
QG536
QG556
QG557
QW947
QX1791
QX1794
RC301
WN2002
XZ1513
XZ1516
