trait	lambda_gc	n_bonf	n_eigen	max_lod	n_markers
vst	0.630599726174957	1	101	7.23142799726694	464045
binary	0.936676281249971	0	18	5.08593368885807	464045
vst_testable	0.517121021950066	0	65	6.11342352039141	464045
binary_testable	1.00796594379268	0	12	4.97875188217736	464045
