rep	max_LOD	max_LOD_chrIII	sd_beta	sd_z
1	4.8749628636517	4.8749628636517	0.00933345665085958	1.28652821500969
2	4.24271654167456	2.69897645326878	0.00824853072621507	1.13698149663263
3	3.0689925447528	2.01019846173261	0.00814364163203856	1.12252353275571
4	4.93058996373054	2.29551271957932	0.00846809614569182	1.16724650109603
5	3.84998830390587	3.263465957156	0.00788773283225788	1.08724893903305
6	4.84176619858978	3.08751993502287	0.00918059896778028	1.26545823745273
7	3.70185189739712	1.88967863666878	0.00816961690823928	1.12610397749071
8	2.95126227552455	2.31170717433369	0.00813921881723455	1.12191388980691
9	2.95397737985299	1.64097212407778	0.00822024905553044	1.13308313735755
10	3.8376176133588	1.82369358233795	0.00801983687037859	1.10545822405109
11	3.09299582852727	2.22026662899503	0.00835380794651431	1.15149296000352
12	4.40776704547059	2.01632254308549	0.00802496248136431	1.10616474076821
13	3.4206676195691	1.94896702944024	0.0083312713466576	1.14838650409221
14	3.96968719920817	2.22850916757609	0.00805020403318898	1.1096440485775
15	3.35621728115098	1.65417496010788	0.00773663665343947	1.06642176808218
16	4.29920125851735	2.31724141846503	0.00812381001235731	1.11978993263052
17	4.165116976211	2.0003595145732	0.00974428890389654	1.34315753305762
18	4.50597144360572	3.02899350018051	0.00850087616184212	1.17176491450313
19	4.2840929722927	2.51135729850154	0.00866078204774162	1.19380641977298
20	3.78198665248312	2.38747024546562	0.00835124999850415	1.15114037120275
21	4.20884770408332	2.73400037692363	0.00880518056344726	1.21371038157514
22	3.33319145357856	1.70605870874182	0.00781479525928953	1.0771951884165
23	2.53225435739274	2.18883073636602	0.00800750816471623	1.10375882925209
24	4.24502858899052	2.15326819571568	0.00883999565659253	1.21850931098737
25	4.55699633745853	2.82558061584215	0.00824129016920307	1.13598345472417
26	3.31685298990676	3.1939263007289	0.00871405641975623	1.20114978518385
27	3.99051375533073	2.31245300870795	0.00839713793434623	1.15746558665055
28	5.70229025642872	2.7262140538248	0.00819250099445224	1.12925833109077
29	3.24408707893204	2.41270035634221	0.00792689972758804	1.09264772298004
30	3.67249201211961	1.97802784613485	0.00835665544756128	1.15188546093605
31	2.83363420262215	2.34957303565066	0.00792029337283005	1.09173709981946
32	3.96488838856957	2.76275102787238	0.00778185263402722	1.07265436089013
33	5.83477339809615	1.84594353781654	0.00837329703828549	1.1541793459146
34	2.71421920704016	2.68077773681465	0.00800419282482867	1.10330184118569
35	3.44629456091338	3.03745337965946	0.00826466516835019	1.13920547600241
36	3.83557077820448	2.10176469607528	0.00882894912025419	1.21698665103308
37	3.49472853070474	3.00017208950152	0.00812192085587486	1.11952953037997
38	3.08055717804627	2.97699796878154	0.00779672014445608	1.07470370577587
39	4.10077969011209	3.36279918212422	0.00827238072371842	1.14026899191586
40	3.75528905205385	3.75528905205385	0.00811801229459344	1.11899077238744
41	3.61050638477172	2.51697802815836	0.00880214858165591	1.21329245172687
42	3.9552990000148	3.80445962790177	0.00847488095346209	1.16818172230682
43	3.0888707078775	3.0888707078775	0.00822472736095799	1.13370042916095
44	4.79064308780756	1.69390910144635	0.00795619456535664	1.09668573769991
45	4.04466178953036	1.9637611724717	0.00793974546849568	1.09441838616932
46	4.16454409123257	2.76923412888272	0.00822765073148491	1.13410338797959
47	4.42442801845362	3.10289237047754	0.00833259373112054	1.14856878221127
48	4.55067797718554	3.65331331751959	0.00897406367098839	1.23698931145266
49	3.50090879111843	3.50090879111843	0.00768516583688488	1.05932700563519
50	3.28641139055201	1.79021743822251	0.00803625190265975	1.1077208801034
51	3.61884963615335	3.61884963615335	0.00836055467483002	1.15242293232373
52	3.59148105096682	2.30593071874103	0.00779943377296899	1.07507775365303
53	3.28633819628896	3.28633819628896	0.00770962638264859	1.06269865918829
54	4.24395506419011	4.24395506419011	0.00792409160493284	1.09226064998423
55	3.43597320833612	1.69019111421467	0.00802324397938992	1.10592786161825
56	3.13925840932746	2.00361731007062	0.00776244666728261	1.06997943297324
57	3.37879840349475	2.1466563023932	0.0088902974720755	1.22544293775673
58	4.75318931466148	3.56664392480921	0.00922764980388558	1.27194374763975
59	5.09197983348459	1.90278787818094	0.00825443028901075	1.13779469524454
60	3.0978354550902	2.19616959427031	0.00815391576229866	1.12393972387962
61	3.68329599285227	2.59228025713761	0.00775827520955881	1.06940443720692
62	4.79860582532296	2.10307357095648	0.00823007002623192	1.13443686474697
63	3.06438655221579	2.37971724672947	0.00773399051832742	1.06605702352829
64	3.40189693199699	3.00943713059165	0.00854203909230347	1.17743883290572
65	3.6146386052284	2.75640984025541	0.00819476370047128	1.12957022359155
66	2.81270346669522	2.09077303755738	0.00818957261319423	1.12885468159052
67	3.04995182203401	2.69924352625153	0.00800038052306347	1.1027763516518
68	4.24800209867126	3.85503652618833	0.00840683768968862	1.15880260565578
69	4.52638268638458	2.64203920932824	0.00800219015624264	1.10302579237145
70	2.92369019553314	2.72346446042985	0.00778674801943813	1.07332914320177
71	3.47441518205231	3.47441518205231	0.0080538000763338	1.11013972891773
72	3.67295473311087	3.67295473311087	0.0077777918480743	1.07209462017466
73	4.3230771158446	3.39802965380718	0.0080913101710813	1.11531013866468
74	3.11151938214343	1.61919714054533	0.00770825693023968	1.06250989320061
75	4.72403954532385	1.60964943295865	0.00855997896187818	1.17991167327396
76	3.25909005682499	2.11976463064902	0.00799669334538761	1.10226810928338
77	2.4873251710136	2.4873251710136	0.00783022896804885	1.07932257835614
78	4.09330862809533	3.11451650116501	0.00931158815609468	1.28351385102995
79	3.27412547768524	2.52176345706886	0.00820642458147559	1.13117756511411
80	4.35436831264828	2.49974667281298	0.00825947254580658	1.13848972237949
81	3.51109479524947	3.51109479524947	0.0079209806913722	1.0918318401424
82	4.94834047957479	2.49826488733682	0.00849387106665489	1.1707993287674
83	6.72004020207343	4.0852763198454	0.00885553278480745	1.22065095631519
