n	feasible	n_mappable	n_mac	frac_mappable	null_mean	vs_null	min_nondiv	med_nondiv	pc1_share	eff_dim	med_div_mb	per_strain	marginal
32	TRUE	4811	5383	0.89373955043656	2840.93333333333	1.69345754916225	2246	8644.5	0.0952687791776295	25.4721813405189	3.431	150.34375	
48	TRUE	8817	9468	0.931242078580482	5224.08	1.68776129002619	1224	4122.5	0.0794662278423902	31.993631788837	3.2835	183.6875	250.375
64	TRUE	11569	12502	0.925371940489522	7307.09333333333	1.58325608723578	1002	2933	0.0955254493031336	34.3607694878751	3.511	180.765625	172
80	TRUE	13546	14842	0.912680231774693	9192.50666666667	1.47359153397405	1018	3506	0.111995185787326	35.3004402027164	3.4695	169.325	123.5625
96	TRUE	15047	17745	0.847957171034094	10934.1533333333	1.37614678899083	1011	2757	0.143941354250155	28.2849512755532	3.4695	156.739583333333	93.8125
128	TRUE	17486	20357	0.858967431350395	14022.4133333333	1.24700360660695	1003	2191.5	0.147057753435401	28.9533754329615	3.503	136.609375	76.21875
160	TRUE	17961	21466	0.836718531631417	16481.6666666667	1.08975629487309	1004	2134	0.165023215900197	25.2103743337626	3.465	112.25625	14.84375
200	FALSE	18048	21971	0.821446452141459	18521.06	0.974458265347664	952	2001.5	0.173994455842425	23.1866592389193	3.6885	90.24	2.175
250	FALSE	19021	22791	0.834583826949234	19727.9866666667	0.964163263154409	640	1535.5	0.173605344831132	24.3003050134385	3.4035	76.084	19.46
