scale	depth_cutoff	n_strain	n_rep	var_strain	var_resid	R	boot_lo	boot_hi	rho_abs_delta_vs_abundance
delta_ctrl	3	231	4	0.000207646000862842	1.0475581389497e-05	0.951973659454854			0.900170111104216
log2fc_ctrl	3	231	4	593.099425573153	542.446764752048	0.5223032146348	0.431294734475366	0.599435358262133	0.900170111104216
rank_within_rep	3	231	4	0.0699151521865192	0.0137309384796762	0.835844827052684			0.900170111104216
delta_ctrl	5	231	4	0.000207653661863631	1.05175502973789e-05	0.951792217711945			0.900170111104216
log2fc_ctrl	5	231	4	451.934360462637	565.711519548332	0.444097862861456			0.900170111104216
rank_within_rep	5	231	4	0.0709338733541525	0.0127187401227127	0.84795764777594			0.900170111104216
delta_ctrl	10	231	4	0.000206280803187631	1.03278588155848e-05	0.952320194769351			0.900170111104216
log2fc_ctrl	10	231	4	612.384603244334	585.48184817944	0.511229446752147			0.900170111104216
rank_within_rep	10	231	4	0.0716400836379267	0.0120073500291357	0.856452858112445			0.900170111104216
