recon	published_trait	trait_value	scan_genome	Slope IV	Slope V	PC1 V-left	PC1 V-right
delta Slope (MIP)	published_slope_baugh	0.889363017934447	0.523353811835925	0.54992147121349	0.696148943689075		
log-ratio Slope (WGS)	published_slope_baugh	0.883696768116676	0.608555876913043	0.645334876187019	0.751056128235354		
delta Slope (WGS)	published_slope_baugh	0.86870398486496	0.54359078477912	0.592424580118403	0.691821663953144		
delta PC1 (MIP)	published_pc1_baugh	0.903376623376623	0.636895273645106			0.884096652724946	0.756128685280396
log-ratio PC1 (WGS)	published_pc1_baugh	0.814201651833366	0.631964867626846			0.79529158538228	0.81310076284876
delta PC1 (WGS)	published_pc1_baugh	0.814768089053803	0.718006411818251			0.79041052485427	0.668625444497583
