locus	role	track	value	scale	rel
X:6.9	mig-6-specific	N2 × XZ1516 · HT115 vs mig-6	29.4639203524821	lod	8.24935909579562
X:6.9	mig-6-specific	N2 × XZ1516 · HT115 vs pos-1	11.9309456716041	lod	3.3404466893761255
X:6.9	mig-6-specific	N2 × XZ1516 · pos-1 vs mig-6	3.67875683243524	lod	1.0299846651029048
X:6.9	mig-6-specific	JU1793 × JU2466 · HT115 vs mig-6	767.037420060736	lod	214.75645610956835
X:6.9	mig-6-specific	JU1793 × JU2466 · HT115 vs pos-1	9.35278886743547	lod	2.618609913128385
X:6.9	mig-6-specific	JU1793 × JU2466 · mig-6 vs pos-1	339.942533686083	lod	95.17769525448969
X:9.7	shared uptake	pooled GWAS · mig-6	0.9737209313660516	gwas	0.14300709713302162
X:9.7	shared uptake	pooled GWAS · pos-1	1.7556286066971067	gwas	0.2578432306422923
X:9.7	shared uptake	N2 × XZ1516 · HT115 vs mig-6	154.338221955162	lod	43.21188083199128
X:9.7	shared uptake	N2 × XZ1516 · HT115 vs pos-1	157.751049514495	lod	44.16741016183465
X:9.7	shared uptake	N2 × XZ1516 · pos-1 vs mig-6	0	lod	0
X:9.7	shared uptake	JU1793 × JU2466 · HT115 vs mig-6	469.747471923524	lod	131.52070511597324
X:9.7	shared uptake	JU1793 × JU2466 · HT115 vs pos-1	6.41397090798373	lod	1.7957946063171033
X:9.7	shared uptake	JU1793 × JU2466 · mig-6 vs pos-1	247.581311974886	lod	69.31824154612148
