trait	perm	gw_max
vst_ctrl_pos-1_T2	0	8.83605
vst_ctrl_pos-1_T2	1	4.61546
vst_ctrl_pos-1_T2	2	5.547353
vst_ctrl_pos-1_T2	3	6.508944
vst_ctrl_pos-1_T2	4	3.999901
vst_ctrl_pos-1_T2	5	4.356502
vst_ctrl_pos-1_T2	6	3.428515
vst_ctrl_pos-1_T2	7	5.275538
vst_ctrl_pos-1_T2	8	5.018967
vst_ctrl_pos-1_T2	9	6.879665
vst_ctrl_pos-1_T2	10	5.864123
vst_ctrl_pos-1_T2	11	7.448755
vst_ctrl_pos-1_T2	12	3.887658
vst_ctrl_pos-1_T2	13	3.582521
vst_ctrl_pos-1_T2	14	4.891768
vst_ctrl_pos-1_T2	15	3.841719
vst_ctrl_pos-1_T2	16	3.529122
vst_ctrl_pos-1_T2	17	3.665095
vst_ctrl_pos-1_T2	18	8.164285
vst_ctrl_pos-1_T2	19	4.958045
vst_ctrl_pos-1_T2	20	4.175018
