sample,sample_info,time,rnai,replicate,depth_cutoff,strain,frq,t0_frq,ctrl_frq,delta_t0,delta_ctrl,log2fc_t0,log2fc_ctrl
A7,T2_ctrl_B,T2,ctrl,B,3,ED3005,0.0137898773392011,0.0150212196638986,0.0145854139112619,-0.0012313423246976,-0.000795536572060865,-0.123392334612303,-0.0809167040952397
A10,T2_pos-1_1,T2,pos-1,1,5,ED3005,0.000824672573327227,0.0143067795773016,0.0142097639833227,-0.0134821070039743,-0.0133850914099955,-4.11673372337508,-4.10691735443005
A11,T2_pos-1_2,T2,pos-1,2,5,ED3005,0,0.0143067795773016,0.0142097639833227,-0.0143067795773016,-0.0142097639833227,-68.9666654719048,-68.9568491029597
A12,T2_pos-1_3,T2,pos-1,3,5,ED3005,0,0.0143067795773016,0.0142097639833227,-0.0143067795773016,-0.0142097639833227,-68.9666654719048,-68.9568491029597
A13,T2_pos-1_4,T2,pos-1,4,5,ED3005,0,0.0143067795773016,0.0142097639833227,-0.0143067795773016,-0.0142097639833227,-68.9666654719048,-68.9568491029597
A6,T2_ctrl_A,T2,ctrl,A,5,ED3005,0.0150345414509978,0.0143067795773016,0.0142097639833227,0.000727761873696223,0.000824777467675049,0.0715819054953414,0.0813982744403645
A7,T2_ctrl_B,T2,ctrl,B,5,ED3005,0.0133849865156477,0.0143067795773016,0.0142097639833227,-0.000921793061653875,-0.00082477746767505,-0.0960832757475217,-0.0862669068024984
A10,T2_pos-1_1,T2,pos-1,1,10,ED3005,0,0.0123405999011818,0.0130490164430219,-0.0123405999011818,-0.0130490164430219,-68.7533790390592,-68.8339075797344
A11,T2_pos-1_2,T2,pos-1,2,10,ED3005,0,0.0123405999011818,0.0130490164430219,-0.0123405999011818,-0.0130490164430219,-68.7533790390592,-68.8339075797344
A12,T2_pos-1_3,T2,pos-1,3,10,ED3005,0,0.0123405999011818,0.0130490164430219,-0.0123405999011818,-0.0130490164430219,-68.7533790390592,-68.8339075797344
A13,T2_pos-1_4,T2,pos-1,4,10,ED3005,0,0.0123405999011818,0.0130490164430219,-0.0123405999011818,-0.0130490164430219,-68.7533790390592,-68.8339075797344
A6,T2_ctrl_A,T2,ctrl,A,10,ED3005,0.0131960868931611,0.0123405999011818,0.0130490164430219,0.000855486991979291,0.000147070450139147,0.0966976543815824,0.0161691137063793
A7,T2_ctrl_B,T2,ctrl,B,10,ED3005,0.0129019459928828,0.0123405999011818,0.0130490164430219,0.000561346091700997,-0.000147070450139147,0.0641761544239024,-0.0163523862513008
A10,T2_pos-1_1,T2,pos-1,1,3,ED3011,0,0,0.00413598965381477,0,-0.00413598965381477,0,-67.1762709924488
A11,T2_pos-1_2,T2,pos-1,2,3,ED3011,0,0,0.00413598965381477,0,-0.00413598965381477,0,-67.1762709924488
A12,T2_pos-1_3,T2,pos-1,3,3,ED3011,0,0,0.00413598965381477,0,-0.00413598965381477,0,-67.1762709924488
A13,T2_pos-1_4,T2,pos-1,4,3,ED3011,0,0,0.00413598965381477,0,-0.00413598965381477,0,-67.1762709924488
A6,T2_ctrl_A,T2,ctrl,A,3,ED3011,0.00393175135734795,0,0.00413598965381477,0.00393175135734795,-0.000204238296466823,67.1032105047028,-0.0730604877459931
A7,T2_ctrl_B,T2,ctrl,B,3,ED3011,0.0043402279502816,0,0.00413598965381477,0.0043402279502816,0.000204238296466822,67.2458092312005,0.0695382387516977
A10,T2_pos-1_1,T2,pos-1,1,5,ED3011,0,0,0.00448103659426934,0,-0.00448103659426934,0,-67.2918709239658
A11,T2_pos-1_2,T2,pos-1,2,5,ED3011,0,0,0.00448103659426934,0,-0.00448103659426934,0,-67.2918709239658
A12,T2_pos-1_3,T2,pos-1,3,5,ED3011,0,0,0.00448103659426934,0,-0.00448103659426934,0,-67.2918709239658
A13,T2_pos-1_4,T2,pos-1,4,5,ED3011,0,0,0.00448103659426934,0,-0.00448103659426934,0,-67.2918709239658
A6,T2_ctrl_A,T2,ctrl,A,5,ED3011,0.0043742436130831,0,0.00448103659426934,0.0043742436130831,-0.000106792981186244,67.2570719857843,-0.0347989381814672
A7,T2_ctrl_B,T2,ctrl,B,5,ED3011,0.00458782957545559,0,0.00448103659426934,0.00458782957545559,0.000106792981186243,67.3258502161139,0.033979292148089
A10,T2_pos-1_1,T2,pos-1,1,10,ED3011,0.000112351587521409,0,0.00465462019225707,0.000112351587521409,-0.00454226860473566,61.9741308306672,-5.37257103657132
A11,T2_pos-1_2,T2,pos-1,2,10,ED3011,0,0,0.00465462019225707,0,-0.00465462019225707,0,-67.3467018672386
A12,T2_pos-1_3,T2,pos-1,3,10,ED3011,0,0,0.00465462019225707,0,-0.00465462019225707,0,-67.3467018672386
A13,T2_pos-1_4,T2,pos-1,4,10,ED3011,0,0,0.00465462019225707,0,-0.00465462019225707,0,-67.3467018672386
A6,T2_ctrl_A,T2,ctrl,A,10,ED3011,0.00517615591395923,0,0.00465462019225707,0.00517615591395923,0.000521535721702162,67.4999194899248,0.153217622686216
A7,T2_ctrl_B,T2,ctrl,B,10,ED3011,0.00413308447055491,0,0.00465462019225707,0.00413308447055491,-0.000521535721702162,67.175257265013,-0.171444602225553
A10,T2_pos-1_1,T2,pos-1,1,3,ED3012,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,3,ED3012,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,3,ED3012,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,3,ED3012,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,3,ED3012,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,3,ED3012,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,5,ED3012,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,5,ED3012,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,5,ED3012,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,5,ED3012,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,5,ED3012,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,5,ED3012,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,10,ED3012,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,10,ED3012,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,10,ED3012,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,10,ED3012,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,10,ED3012,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,10,ED3012,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,3,ED3040,0,0.000790488594625535,0.00367093152011453,-0.000790488594625535,-0.00367093152011453,-64.7888549679638,-67.0041846174355
A11,T2_pos-1_2,T2,pos-1,2,3,ED3040,0.00116626078581393,0.000790488594625535,0.00367093152011453,0.00037577219118839,-0.0025046707343006,0.561073871203933,-1.65425577826777
A12,T2_pos-1_3,T2,pos-1,3,3,ED3040,0.0015281809268494,0.000790488594625535,0.00367093152011453,0.000737692332223866,-0.00214275059326513,0.950998807084565,-1.26433084238714
A13,T2_pos-1_4,T2,pos-1,4,3,ED3040,0,0.000790488594625535,0.00367093152011453,-0.000790488594625535,-0.00367093152011453,-64.7888549679638,-67.0041846174355
A6,T2_ctrl_A,T2,ctrl,A,3,ED3040,0.00479818477958695,0.000790488594625535,0.00367093152011453,0.00400769618496141,0.00112725325947242,2.6016721650673,0.386342515595601
A7,T2_ctrl_B,T2,ctrl,B,3,ED3040,0.0025436782606421,0.000790488594625535,0.00367093152011453,0.00175318966601657,-0.00112725325947242,1.68609964935623,-0.529230000115468
A10,T2_pos-1_1,T2,pos-1,1,5,ED3040,0,0.000221643742981386,0.00311005053777917,-0.000221643742981386,-0.00311005053777917,-62.9543529565027,-66.7649764397849
A11,T2_pos-1_2,T2,pos-1,2,5,ED3040,0.00054602436207502,0.000221643742981386,0.00311005053777917,0.000324380619093635,-0.00256402617570415,1.3007226858915,-2.50990079739066
A12,T2_pos-1_3,T2,pos-1,3,5,ED3040,0.00149862875820413,0.000221643742981386,0.00311005053777917,0.00127698501522274,-0.00161142177957504,2.75732850089712,-1.05329498238505
A13,T2_pos-1_4,T2,pos-1,4,5,ED3040,0,0.000221643742981386,0.00311005053777917,-0.000221643742981386,-0.00311005053777917,-62.9543529565027,-66.7649764397849
A6,T2_ctrl_A,T2,ctrl,A,5,ED3040,0.0041403173433034,0.000221643742981386,0.00311005053777917,0.00391867360032201,0.00103026680552423,4.22342680954159,0.412803326259433
A7,T2_ctrl_B,T2,ctrl,B,5,ED3040,0.00207978373225494,0.000221643742981386,0.00311005053777917,0.00185813998927355,-0.00103026680552423,3.2301189757203,-0.580504507561865
A10,T2_pos-1_1,T2,pos-1,1,10,ED3040,0,0.000376904977793463,0.00274021888501033,-0.000376904977793463,-0.00274021888501033,-63.7203111696458,-66.5823295540297
A11,T2_pos-1_2,T2,pos-1,2,10,ED3040,0,0.000376904977793463,0.00274021888501033,-0.000376904977793463,-0.00274021888501033,-63.7203111696458,-66.5823295540297
A12,T2_pos-1_3,T2,pos-1,3,10,ED3040,0.00123217307497896,0.000376904977793463,0.00274021888501033,0.000855268097185494,-0.00150804581003137,1.70893216188504,-1.15308622249888
A13,T2_pos-1_4,T2,pos-1,4,10,ED3040,0,0.000376904977793463,0.00274021888501033,-0.000376904977793463,-0.00274021888501033,-63.7203111696458,-66.5823295540297
A6,T2_ctrl_A,T2,ctrl,A,10,ED3040,0.00335378812332546,0.000376904977793463,0.00274021888501033,0.002976883145532,0.000613569238315137,3.1535187950943,0.291500410710382
A7,T2_ctrl_B,T2,ctrl,B,10,ED3040,0.00212664964669519,0.000376904977793463,0.00274021888501033,0.00174974466890173,-0.000613569238315137,2.49630962320906,-0.36570876117486
A10,T2_pos-1_1,T2,pos-1,1,3,ED3046,0,0.00913666009856686,0.00837150364976895,-0.00913666009856686,-0.00837150364976895,-68.3197053009111,-68.1935251917846
A11,T2_pos-1_2,T2,pos-1,2,3,ED3046,0,0.00913666009856686,0.00837150364976895,-0.00913666009856686,-0.00837150364976895,-68.3197053009111,-68.1935251917846
A12,T2_pos-1_3,T2,pos-1,3,3,ED3046,0.000981629530027649,0.00913666009856686,0.00837150364976895,-0.00815503056853921,-0.0073898741197413,-3.21841633034448,-3.09223622121795
A13,T2_pos-1_4,T2,pos-1,4,3,ED3046,0,0.00913666009856686,0.00837150364976895,-0.00913666009856686,-0.00837150364976895,-68.3197053009111,-68.1935251917846
A6,T2_ctrl_A,T2,ctrl,A,3,ED3046,0,0.00913666009856686,0.00837150364976895,-0.00913666009856686,-0.00837150364976895,-68.3197053009111,-68.1935251917846
A7,T2_ctrl_B,T2,ctrl,B,3,ED3046,0.0167430072995379,0.00913666009856686,0.00837150364976895,0.00760634720097104,0.00837150364976895,0.873819890873469,1
A10,T2_pos-1_1,T2,pos-1,1,5,ED3046,0,0.00970627475628128,0.00824683873419093,-0.00970627475628128,-0.00824683873419093,-68.4069561148575,-68.1718796118383
A11,T2_pos-1_2,T2,pos-1,2,5,ED3046,0,0.00970627475628128,0.00824683873419093,-0.00970627475628128,-0.00824683873419093,-68.4069561148575,-68.1718796118383
A12,T2_pos-1_3,T2,pos-1,3,5,ED3046,0.000772070309928184,0.00970627475628128,0.00824683873419093,-0.00893420444635309,-0.00747476842426275,-3.65211355903534,-3.41703705601614
A13,T2_pos-1_4,T2,pos-1,4,5,ED3046,0,0.00970627475628128,0.00824683873419093,-0.00970627475628128,-0.00824683873419093,-68.4069561148575,-68.1718796118383
A6,T2_ctrl_A,T2,ctrl,A,5,ED3046,0,0.00970627475628128,0.00824683873419093,-0.00970627475628128,-0.00824683873419093,-68.4069561148575,-68.1718796118383
A7,T2_ctrl_B,T2,ctrl,B,5,ED3046,0.0164936774683819,0.00970627475628128,0.00824683873419093,0.00678740271210059,0.00824683873419093,0.764923496980804,1
A10,T2_pos-1_1,T2,pos-1,1,10,ED3046,0,0.0139739729611319,0.0110802546242695,-0.0139739729611319,-0.0110802546242695,-68.9327087644328,-68.5979575454854
A11,T2_pos-1_2,T2,pos-1,2,10,ED3046,0,0.0139739729611319,0.0110802546242695,-0.0139739729611319,-0.0110802546242695,-68.9327087644328,-68.5979575454854
A12,T2_pos-1_3,T2,pos-1,3,10,ED3046,0.000103868608511056,0.0139739729611319,0.0110802546242695,-0.0138701043526208,-0.0109763860157584,-7.07183873922195,-6.73708752027458
A13,T2_pos-1_4,T2,pos-1,4,10,ED3046,0,0.0139739729611319,0.0110802546242695,-0.0139739729611319,-0.0110802546242695,-68.9327087644328,-68.5979575454854
A6,T2_ctrl_A,T2,ctrl,A,10,ED3046,0.00578491330585296,0.0139739729611319,0.0110802546242695,-0.00818905965527893,-0.00529534131841649,-1.27237500982848,-0.937623790881102
A7,T2_ctrl_B,T2,ctrl,B,10,ED3046,0.0163755959426859,0.0139739729611319,0.0110802546242695,0.00240162298155405,0.00529534131841649,0.22880515648962,0.563556375436997
A10,T2_pos-1_1,T2,pos-1,1,3,ED3048,0,0.00244074420154239,0,-0.00244074420154239,0,-66.4153595192932,0
A11,T2_pos-1_2,T2,pos-1,2,3,ED3048,0,0.00244074420154239,0,-0.00244074420154239,0,-66.4153595192932,0
A12,T2_pos-1_3,T2,pos-1,3,3,ED3048,0,0.00244074420154239,0,-0.00244074420154239,0,-66.4153595192932,0
A13,T2_pos-1_4,T2,pos-1,4,3,ED3048,0,0.00244074420154239,0,-0.00244074420154239,0,-66.4153595192932,0
A6,T2_ctrl_A,T2,ctrl,A,3,ED3048,0,0.00244074420154239,0,-0.00244074420154239,0,-66.4153595192932,0
A7,T2_ctrl_B,T2,ctrl,B,3,ED3048,0,0.00244074420154239,0,-0.00244074420154239,0,-66.4153595192932,0
A10,T2_pos-1_1,T2,pos-1,1,5,ED3048,0,0.00295427792344824,0,-0.00295427792344824,0,-66.6908439695978,0
A11,T2_pos-1_2,T2,pos-1,2,5,ED3048,0,0.00295427792344824,0,-0.00295427792344824,0,-66.6908439695978,0
A12,T2_pos-1_3,T2,pos-1,3,5,ED3048,0,0.00295427792344824,0,-0.00295427792344824,0,-66.6908439695978,0
A13,T2_pos-1_4,T2,pos-1,4,5,ED3048,0,0.00295427792344824,0,-0.00295427792344824,0,-66.6908439695978,0
A6,T2_ctrl_A,T2,ctrl,A,5,ED3048,0,0.00295427792344824,0,-0.00295427792344824,0,-66.6908439695978,0
A7,T2_ctrl_B,T2,ctrl,B,5,ED3048,0,0.00295427792344824,0,-0.00295427792344824,0,-66.6908439695978,0
A10,T2_pos-1_1,T2,pos-1,1,10,ED3048,0,0.00214103249851253,0,-0.00214103249851253,0,-66.2263451101051,0
A11,T2_pos-1_2,T2,pos-1,2,10,ED3048,0,0.00214103249851253,0,-0.00214103249851253,0,-66.2263451101051,0
A12,T2_pos-1_3,T2,pos-1,3,10,ED3048,0,0.00214103249851253,0,-0.00214103249851253,0,-66.2263451101051,0
A13,T2_pos-1_4,T2,pos-1,4,10,ED3048,0,0.00214103249851253,0,-0.00214103249851253,0,-66.2263451101051,0
A6,T2_ctrl_A,T2,ctrl,A,10,ED3048,0,0.00214103249851253,0,-0.00214103249851253,0,-66.2263451101051,0
A7,T2_ctrl_B,T2,ctrl,B,10,ED3048,0,0.00214103249851253,0,-0.00214103249851253,0,-66.2263451101051,0
A10,T2_pos-1_1,T2,pos-1,1,3,ED3049,0,0.0056413994918998,0.00899071453088373,-0.0056413994918998,-0.00899071453088373,-67.624091519732,-68.2964741931926
A11,T2_pos-1_2,T2,pos-1,2,3,ED3049,0,0.0056413994918998,0.00899071453088373,-0.0056413994918998,-0.00899071453088373,-67.624091519732,-68.2964741931926
A12,T2_pos-1_3,T2,pos-1,3,3,ED3049,0,0.0056413994918998,0.00899071453088373,-0.0056413994918998,-0.00899071453088373,-67.624091519732,-68.2964741931926
A13,T2_pos-1_4,T2,pos-1,4,3,ED3049,0.000907327360046387,0.0056413994918998,0.00899071453088373,-0.00473407213185341,-0.00808338717083734,-2.63635803570391,-3.30874070916449
A6,T2_ctrl_A,T2,ctrl,A,3,ED3049,0.0179814290617675,0.0056413994918998,0.00899071453088373,0.0123400295698676,0.00899071453088373,1.67238267346059,1
A7,T2_ctrl_B,T2,ctrl,B,3,ED3049,0,0.0056413994918998,0.00899071453088373,-0.0056413994918998,-0.00899071453088373,-67.624091519732,-68.2964741931926
A10,T2_pos-1_1,T2,pos-1,1,5,ED3049,0,0.00482354303554815,0.00883751477135144,-0.00482354303554815,-0.00883751477135144,-67.3981316538673,-68.2716791369939
A11,T2_pos-1_2,T2,pos-1,2,5,ED3049,0,0.00482354303554815,0.00883751477135144,-0.00482354303554815,-0.00883751477135144,-67.3981316538673,-68.2716791369939
A12,T2_pos-1_3,T2,pos-1,3,5,ED3049,0,0.00482354303554815,0.00883751477135144,-0.00482354303554815,-0.00883751477135144,-67.3981316538673,-68.2716791369939
A13,T2_pos-1_4,T2,pos-1,4,5,ED3049,0.000655184084945343,0.00482354303554815,0.00883751477135144,-0.0041683589506028,-0.0081823306864061,-2.88012102011149,-3.75366850323801
A6,T2_ctrl_A,T2,ctrl,A,5,ED3049,0.0176750295427029,0.00482354303554815,0.00883751477135144,0.0128514865071547,0.00883751477135144,1.87354748312652,1
A7,T2_ctrl_B,T2,ctrl,B,5,ED3049,0,0.00482354303554815,0.00883751477135144,-0.00482354303554815,-0.00883751477135144,-67.3981316538673,-68.2716791369939
A10,T2_pos-1_1,T2,pos-1,1,10,ED3049,0,0,0.00476072229576324,0,-0.00476072229576324,0,-67.3792188912166
A11,T2_pos-1_2,T2,pos-1,2,10,ED3049,0,0,0.00476072229576324,0,-0.00476072229576324,0,-67.3792188912166
A12,T2_pos-1_3,T2,pos-1,3,10,ED3049,0,0,0.00476072229576324,0,-0.00476072229576324,0,-67.3792188912166
A13,T2_pos-1_4,T2,pos-1,4,10,ED3049,0,0,0.00476072229576324,0,-0.00476072229576324,0,-67.3792188912166
A6,T2_ctrl_A,T2,ctrl,A,10,ED3049,0.00952144459152648,0,0.00476072229576324,0.00952144459152648,0.00476072229576324,68.3792188912165,1
A7,T2_ctrl_B,T2,ctrl,B,10,ED3049,0,0,0.00476072229576324,0,-0.00476072229576324,0,-67.3792188912166
A10,T2_pos-1_1,T2,pos-1,1,3,ED3052,0,0,0.00181993796081816,0,-0.00181993796081816,0,-65.9919276874682
A11,T2_pos-1_2,T2,pos-1,2,3,ED3052,0,0,0.00181993796081816,0,-0.00181993796081816,0,-65.9919276874682
A12,T2_pos-1_3,T2,pos-1,3,3,ED3052,0,0,0.00181993796081816,0,-0.00181993796081816,0,-65.9919276874682
A13,T2_pos-1_4,T2,pos-1,4,3,ED3052,0.000331613597247838,0,0.00181993796081816,0.000331613597247838,-0.00148832436357032,63.535613484095,-2.4563142033732
A6,T2_ctrl_A,T2,ctrl,A,3,ED3052,0,0,0.00181993796081816,0,-0.00181993796081816,0,-65.9919276874682
A7,T2_ctrl_B,T2,ctrl,B,3,ED3052,0.00363987592163631,0,0.00181993796081816,0.00363987592163631,0.00181993796081816,66.9919276874682,1
A10,T2_pos-1_1,T2,pos-1,1,5,ED3052,0,0,0.00175306132680828,0,-0.00175306132680828,0,-65.9379148820353
A11,T2_pos-1_2,T2,pos-1,2,5,ED3052,0,0,0.00175306132680828,0,-0.00175306132680828,0,-65.9379148820353
A12,T2_pos-1_3,T2,pos-1,3,5,ED3052,0,0,0.00175306132680828,0,-0.00175306132680828,0,-65.9379148820353
A13,T2_pos-1_4,T2,pos-1,4,5,ED3052,0,0,0.00175306132680828,0,-0.00175306132680828,0,-65.9379148820353
A6,T2_ctrl_A,T2,ctrl,A,5,ED3052,0,0,0.00175306132680828,0,-0.00175306132680828,0,-65.9379148820353
A7,T2_ctrl_B,T2,ctrl,B,5,ED3052,0.00350612265361657,0,0.00175306132680828,0.00350612265361657,0.00175306132680828,66.9379148820353,1
A10,T2_pos-1_1,T2,pos-1,1,10,ED3052,0,0,0.00157722864171175,0,-0.00157722864171175,0,-65.7854302301382
A11,T2_pos-1_2,T2,pos-1,2,10,ED3052,0,0,0.00157722864171175,0,-0.00157722864171175,0,-65.7854302301382
A12,T2_pos-1_3,T2,pos-1,3,10,ED3052,0,0,0.00157722864171175,0,-0.00157722864171175,0,-65.7854302301382
A13,T2_pos-1_4,T2,pos-1,4,10,ED3052,0,0,0.00157722864171175,0,-0.00157722864171175,0,-65.7854302301382
A6,T2_ctrl_A,T2,ctrl,A,10,ED3052,0,0,0.00157722864171175,0,-0.00157722864171175,0,-65.7854302301382
A7,T2_ctrl_B,T2,ctrl,B,10,ED3052,0.00315445728342349,0,0.00157722864171175,0.00315445728342349,0.00157722864171175,66.7854302301382,1
A10,T2_pos-1_1,T2,pos-1,1,3,ED3073,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,3,ED3073,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,3,ED3073,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,3,ED3073,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,3,ED3073,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,3,ED3073,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,5,ED3073,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,5,ED3073,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,5,ED3073,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,5,ED3073,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,5,ED3073,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,5,ED3073,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,10,ED3073,0,0,0.000425510340340166,0,-0.000425510340340166,0,-63.895304512123
A11,T2_pos-1_2,T2,pos-1,2,10,ED3073,0,0,0.000425510340340166,0,-0.000425510340340166,0,-63.895304512123
A12,T2_pos-1_3,T2,pos-1,3,10,ED3073,0,0,0.000425510340340166,0,-0.000425510340340166,0,-63.895304512123
A13,T2_pos-1_4,T2,pos-1,4,10,ED3073,0,0,0.000425510340340166,0,-0.000425510340340166,0,-63.895304512123
A6,T2_ctrl_A,T2,ctrl,A,10,ED3073,0.000851020680680331,0,0.000425510340340166,0.000851020680680331,0.000425510340340166,64.895304512123,1
A7,T2_ctrl_B,T2,ctrl,B,10,ED3073,0,0,0.000425510340340166,0,-0.000425510340340166,0,-63.895304512123
A10,T2_pos-1_1,T2,pos-1,1,3,ED3077,0,0.0124657631933909,0.0127373323909006,-0.0124657631933909,-0.0127373323909006,-68.7679377224629,-68.79902967284
A11,T2_pos-1_2,T2,pos-1,2,3,ED3077,0,0.0124657631933909,0.0127373323909006,-0.0124657631933909,-0.0127373323909006,-68.7679377224629,-68.79902967284
A12,T2_pos-1_3,T2,pos-1,3,3,ED3077,0,0.0124657631933909,0.0127373323909006,-0.0124657631933909,-0.0127373323909006,-68.7679377224629,-68.79902967284
A13,T2_pos-1_4,T2,pos-1,4,3,ED3077,0.00367075218116825,0.0124657631933909,0.0127373323909006,-0.00879501101222269,-0.00906658020973232,-1.76382358788089,-1.794915538258
A6,T2_ctrl_A,T2,ctrl,A,3,ED3077,0.0128195887774347,0.0124657631933909,0.0127373323909006,0.000353825584043729,8.22563865340974e-05,0.0403787725204935,0.00928682214338322
A7,T2_ctrl_B,T2,ctrl,B,3,ED3077,0.0126550760043665,0.0124657631933909,0.0127373323909006,0.000189312810975534,-8.22563865340974e-05,0.0217449601908237,-0.00934699018628671
A10,T2_pos-1_1,T2,pos-1,1,5,ED3077,0,0.0114343427389783,0.0124299951410498,-0.0114343427389783,-0.0124299951410498,-68.6433399507122,-68.7637922430164
A11,T2_pos-1_2,T2,pos-1,2,5,ED3077,0,0.0114343427389783,0.0124299951410498,-0.0114343427389783,-0.0124299951410498,-68.6433399507122,-68.7637922430164
A12,T2_pos-1_3,T2,pos-1,3,5,ED3077,0,0.0114343427389783,0.0124299951410498,-0.0114343427389783,-0.0124299951410498,-68.6433399507122,-68.7637922430164
A13,T2_pos-1_4,T2,pos-1,4,5,ED3077,0.00330261272754875,0.0114343427389783,0.0124299951410498,-0.00813173001142954,-0.00912738241350104,-1.7916937294264,-1.91214602173063
A6,T2_ctrl_A,T2,ctrl,A,5,ED3077,0.0126090667719483,0.0114343427389783,0.0124299951410498,0.00117472403297004,0.000179071630898534,0.141088062078949,0.0206357697747207
A7,T2_ctrl_B,T2,ctrl,B,5,ED3077,0.0122509235101513,0.0114343427389783,0.0124299951410498,0.000816580771172972,-0.000179071630898532,0.0995170677350395,-0.0209352245691886
A10,T2_pos-1_1,T2,pos-1,1,10,ED3077,0,0.0108903024349136,0.0116152771399106,-0.0108903024349136,-0.0116152771399106,-68.5730105303211,-68.6659900877692
A11,T2_pos-1_2,T2,pos-1,2,10,ED3077,0,0.0108903024349136,0.0116152771399106,-0.0108903024349136,-0.0116152771399106,-68.5730105303211,-68.6659900877692
A12,T2_pos-1_3,T2,pos-1,3,10,ED3077,0,0.0108903024349136,0.0116152771399106,-0.0108903024349136,-0.0116152771399106,-68.5730105303211,-68.6659900877692
A13,T2_pos-1_4,T2,pos-1,4,10,ED3077,0.00302918162354228,0.0108903024349136,0.0116152771399106,-0.00786112081137129,-0.00858609551636828,-1.84604403285132,-1.93902359029947
A6,T2_ctrl_A,T2,ctrl,A,10,ED3077,0.0124634348306865,0.0108903024349136,0.0116152771399106,0.00157313239577298,0.000848157690775982,0.194657699530463,0.101678142082314
A7,T2_ctrl_B,T2,ctrl,B,10,ED3077,0.0107671194491346,0.0108903024349136,0.0116152771399106,-0.000123182985778987,-0.000848157690775982,-0.0164116855754545,-0.109391243023603
A10,T2_pos-1_1,T2,pos-1,1,3,EG4347,0,0,0.00545341556811092,0,-0.00545341556811092,0,-67.5751985134247
A11,T2_pos-1_2,T2,pos-1,2,3,EG4347,0,0,0.00545341556811092,0,-0.00545341556811092,0,-67.5751985134247
A12,T2_pos-1_3,T2,pos-1,3,3,EG4347,0,0,0.00545341556811092,0,-0.00545341556811092,0,-67.5751985134247
A13,T2_pos-1_4,T2,pos-1,4,3,EG4347,0,0,0.00545341556811092,0,-0.00545341556811092,0,-67.5751985134247
A6,T2_ctrl_A,T2,ctrl,A,3,EG4347,0,0,0.00545341556811092,0,-0.00545341556811092,0,-67.5751985134247
A7,T2_ctrl_B,T2,ctrl,B,3,EG4347,0.0109068311362218,0,0.00545341556811092,0.0109068311362218,0.00545341556811092,68.5751985134247,1
A10,T2_pos-1_1,T2,pos-1,1,5,EG4347,0,0.000628992646950052,0.00562474692056355,-0.000628992646950052,-0.00562474692056355,-64.4591534726176,-67.6198266009743
A11,T2_pos-1_2,T2,pos-1,2,5,EG4347,0,0.000628992646950052,0.00562474692056355,-0.000628992646950052,-0.00562474692056355,-64.4591534726176,-67.6198266009743
A12,T2_pos-1_3,T2,pos-1,3,5,EG4347,0,0.000628992646950052,0.00562474692056355,-0.000628992646950052,-0.00562474692056355,-64.4591534726176,-67.6198266009743
A13,T2_pos-1_4,T2,pos-1,4,5,EG4347,0,0.000628992646950052,0.00562474692056355,-0.000628992646950052,-0.00562474692056355,-64.4591534726176,-67.6198266009743
A6,T2_ctrl_A,T2,ctrl,A,5,EG4347,0,0.000628992646950052,0.00562474692056355,-0.000628992646950052,-0.00562474692056355,-64.4591534726176,-67.6198266009743
