strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"JU1400",0.000827512017274245,0.0160448520964286,1.85544400947218,0.000316009399578425,-3.50029999926663
"JU1409",NA,NA,NA,-0.000237458807019688,NA
"JU1440",NA,NA,NA,0,NA
"JU1491",NA,NA,NA,0,NA
"JU1530",-0.00216315264523684,-0.0331666866901158,-3.23136423457797,0.00127436857828526,-2.61601777876136
"JU1543",-0.00263741548143695,-0.051378374847002,-66.5271632776801,0.00263741548143695,-2.57882144886342
"JU1568",NA,NA,NA,-0.00155669894796006,NA
"JU1581",NA,NA,NA,0,NA
"JU1586",NA,NA,NA,0,NA
"JU1652",-5.79224525596081e-05,-0.00761075363751803,-61.0183049164061,5.79224525596081e-05,-4.23715305747123
"JU1666",-0.0105654684897695,-0.0628003259665862,-2.24481216413231,0.00331940697530881,-1.87319847295523
"JU1792",-0.00490360037193852,-0.0700830685589032,-67.4218798243909,0.00490360037193852,-2.3094849306866
"JU1793",0.00856969474810046,0.0429203460187663,1.24685828268813,-0.00342359452156092,-2.20478123739408
"JU1808",NA,NA,NA,-0.000953661921596693,NA
"JU1896",-4.12255384992323e-05,-0.00642075579871224,-60.5277205645829,4.12255384992323e-05,-4.38483366277337
"JU1934",0.0183204702619617,0.0472718809720832,0.679356254821089,0.00471700087954998,-1.51624487669206
"JU2001",0.00157092242499353,0.0296494578681591,3.64494509494505,-0.000711503406165878,-3.86489938621484
"JU2007",NA,NA,NA,-2.14448650145412e-05,NA
"JU2016",-0.000732598007827608,-0.0270698536698514,-64.6791320987027,0.000732598007827608,-3.1351342666579
"JU2017",NA,NA,NA,0,NA
"JU2106",NA,NA,NA,-0.00205692886823118,NA
"JU2131",-0.0015925936376238,-0.0246260526231071,-2.31116126951673,-0.0020474468895747,-2.70017093262535
"JU2141",-0.00108368514832505,-0.0141978929051181,-1.08444734417855,0.00205077503895036,-2.68808197722349
"JU2234",NA,NA,NA,0,NA
