strain	Albendazole_q75.TOF	PC1	assay_norm	mtDNA_ratio	value	amsacrine_f.L1	etoposide_median.TOF
MY2585	-3.19075782980881	NA	-0.0900397408674569	16.4238721433	NA	NA	NA
MY2693	-2.66153271776727	NA	-0.3433485322625	15.5497567282	NA	NA	NA
MY2713	4.18507611618575	NA	-0.327988306766098	16.5556351358	NA	NA	NA
MY2741	18.7676076919258	NA	NA	13.807845182	NA	NA	NA
MY518	152.47164278325	NA	NA	11.2316533878	NA	NA	NA
MY679	136.399362940247	NA	-0.04885552859375	16.3223304532	NA	NA	NA
MY772	-0.265088879278831	NA	0.246154253928945	13.0286909516	NA	NA	NA
MY795	90.9248727351142	NA	-0.187656390867457	13.2301511395	NA	NA	NA
MY920	-8.77980231832719	NA	0.2527565748875	12.278663289	NA	NA	NA
N2	-76.3952860353145	2.61257269616754	0.406875493233901	14.5156466768	-7.71730727860271	0.0770047221608533	-15.5685272908798
NIC1	9.84366550329747	NA	NA	32.5215664113	-8.24932613394476	-0.0410024621048429	11.9124869323367
NIC1049	NA	NA	0.329332559132543	11.4491356046	NA	NA	NA
NIC1107	NA	NA	NA	13.0788137427	NA	NA	NA
NIC1119	NA	NA	NA	42.2382738173	NA	NA	NA
NIC166	NA	NA	0.0288557559885408	26.1523523229	10.8722384978192	-0.0101544989774458	-9.06775188944083
NIC195	NA	NA	0.0633380640852834	22.24348041	NA	0.0248650372282039	8.14478716542879
NIC199	9.81876711308497	NA	0.203412609132543	29.4098479747	39.7219116660232	-0.0236908932015619	33.8577919214164
NIC2	-20.0683761794062	NA	NA	33.5096439591	-10.6143747562918	-0.0555539639105905	12.1925551671307
NIC207	-21.4126311852992	NA	NA	29.0023556725	-10.4720449264793	0.0285413331404147	17.1579966608051
NIC231	3.07651739667576	NA	-0.0849611103812317	16.8477537094	-10.6143747562918	-0.037217227557702	-31.1401741663605
NIC236	-7.40497123294124	NA	-0.00902024377917098	20.8532749175	-12.3969248231699	0.0270525368693782	16.1012958767415
NIC242	-21.0204449989681	NA	0.234796304852151	48.1975631942	-19.1839932840953	-0.00261395740418753	5.42216972745624
NIC251	28.6725863689562	NA	0.130749494316067	47.4802149019	-14.4053115649846	-0.0428320866974108	31.2070479219835
NIC252	-30.5304712550669	NA	-0.37440145623487	40.9590452438	16.5931940945428	-0.0637618235792955	19.3122038448531
NIC255	-12.7223667224092	NA	-0.223536995147849	25.2653641087	-14.2059123367992	-0.0269283429514257	17.5009774126966
NIC256	-3.24803000225031	NA	NA	41.2683999809	-17.4878817582622	-0.0330938665129356	17.5888363941229
NIC258	2.40253105466391	NA	-0.0211124686363636	61.3953422609	-5.39098444443575	-0.0522486602357131	16.8261183622712
NIC259	-36.7625102748498	NA	NA	24.6981841834	-14.9556005532622	0.00282400076878532	-36.0356778815044
NIC260	NA	NA	NA	37.6305254377	40.8011295747008	-0.0818022499624436	32.7024097375724
NIC261	11.3647642766892	NA	NA	70.097345491	-18.9724548225953	-0.0579399271976033	19.1193074543809
NIC262	-28.7674803372486	NA	NA	76.9260450353	-15.2168154883387	NA	NA
NIC265	45.3641135706433	NA	-0.0514767661108622	22.4526879427	1.49719528009877	-0.0243973171751116	0.518274354139955
NIC266	13.3513250991443	NA	NA	32.0272068345	-13.7081837150607	0.00903923284647498	-35.6670635281796
NIC267	-25.5485272862264	NA	-0.0797542803812317	29.3522466309	-8.71256299693853	0.0152358671473252	-17.9885970169079
NIC268	2.02409334486517	NA	0.0266762422935443	58.3364045913	10.1645596297723	0.00114150545825275	7.06334706892086
NIC269	-49.8269647769817	NA	NA	30.1600331594	-12.0239085941997	-0.0104371607080963	3.85097381186721
NIC271	NA	NA	-0.0433493338890612	37.397991465	-2.21147350813724	-0.0302931323926554	11.8333392972846
NIC272	17.4339166673513	NA	-0.0728703758408309	37.9730872566	-4.68289149212384	-0.0349399205419182	-5.47754956173263
NIC274	7.88241701491139	NA	NA	12.6360015003	40.4727067292378	-0.023907138792839	-41.3863081562811
NIC275	-27.7635886815313	NA	NA	46.0996824633	-16.9225112496512	0.0793577965469961	7.25830487070743
NIC276	-2.21933184009072	NA	0.241251359622189	71.0482071691	31.9251640506488	-0.0281647253557287	-25.7189543525097
NIC277	-11.7162465939182	NA	NA	66.4961255037	-6.76826245937384	0.0551527802309249	-35.7244514493479
NIC3	NA	NA	NA	39.445882365	NA	-0.0201802016714755	-40.1200101626743
NIC501	-29.1109731444659	NA	0.215195468233902	8.49427407546	NA	NA	NA
NIC511	-78.1326479288909	NA	NA	12.516965607	NA	NA	NA
NIC513	-12.4214306746485	NA	NA	7.92359448529	NA	NA	NA
NIC514	-50.1457244718855	NA	-0.2805534251125	16.8304511385	NA	NA	NA
NIC515	34.9065771179499	NA	NA	19.0930426009	NA	NA	NA
NIC522	-65.06464491088	NA	0.28986327140625	15.4298908862	NA	NA	NA
NIC523	NA	NA	0.41354902140625	11.7404589425	NA	NA	NA
