replicate	trait	depth	r2
3	amsacrine_f.L1	10	0.977728681936862
3	amsacrine_f.L1	30	0.9905900595149085
3	amsacrine_f.L1	50	0.995239922218626
3	amsacrine_f.L1	100	0.9980001427755784
3	amsacrine_f.L1	500	0.9995372262149199
3	assay_norm	1	0.7599688706092693
3	assay_norm	3	0.8849626656741222
3	assay_norm	5	0.9413944368109014
3	assay_norm	10	0.9783533415419717
3	assay_norm	30	0.991246867121534
3	assay_norm	50	0.9942997584698962
3	assay_norm	100	0.9973483605572581
3	assay_norm	500	0.9994500152953409
3	etoposide_median.TOF	1	0.7727773700705148
3	etoposide_median.TOF	3	0.9105786008395751
3	etoposide_median.TOF	5	0.9343238932635554
3	etoposide_median.TOF	10	0.9701351999797697
3	etoposide_median.TOF	30	0.98959863920422
3	etoposide_median.TOF	50	0.9932466531869678
3	etoposide_median.TOF	100	0.9975796371668855
3	etoposide_median.TOF	500	0.9994888428664409
3	mtDNA_ratio	1	0.4575361630082192
3	mtDNA_ratio	3	0.7505658527218695
3	mtDNA_ratio	5	0.8148371523823191
3	mtDNA_ratio	10	0.8794596109036898
3	mtDNA_ratio	30	0.9507832611156095
3	mtDNA_ratio	50	0.9667382653675514
3	mtDNA_ratio	100	0.981773196202813
3	mtDNA_ratio	500	0.9966360191000547
3	value	1	0.8681220019469426
3	value	3	0.9488723066562715
3	value	5	0.9619332980263863
3	value	10	0.9840269940829593
3	value	30	0.9966494595714518
3	value	50	0.9970905469390422
3	value	100	0.998659179978573
3	value	500	0.9996516775735133
4	Albendazole_q75.TOF	1	0.5767977656680386
4	Albendazole_q75.TOF	3	0.7939799310035033
4	Albendazole_q75.TOF	5	0.8537125435254092
4	Albendazole_q75.TOF	10	0.9154957678094722
4	Albendazole_q75.TOF	30	0.977319923586188
4	Albendazole_q75.TOF	50	0.9841280815480946
4	Albendazole_q75.TOF	100	0.9924833323583014
4	Albendazole_q75.TOF	500	0.997922852057428
4	PC1	1	0.8803505279457363
4	PC1	3	0.9688072578816861
4	PC1	5	0.9807341080095389
4	PC1	10	0.9904651582339761
4	PC1	30	0.997696572967773
4	PC1	50	0.9987028847814702
4	PC1	100	0.9988287893945984
4	PC1	500	0.999808803383969
4	amsacrine_f.L1	1	0.8118371624829118
4	amsacrine_f.L1	3	0.9268672242238213
4	amsacrine_f.L1	5	0.9536696242831183
4	amsacrine_f.L1	10	0.9731416795231209
4	amsacrine_f.L1	30	0.9924933886856984
4	amsacrine_f.L1	50	0.995927671248112
4	amsacrine_f.L1	100	0.9977024397187069
4	amsacrine_f.L1	500	0.9994640263602246
4	assay_norm	1	0.7641472517023132
4	assay_norm	3	0.9003127015272743
4	assay_norm	5	0.9215174753928007
4	assay_norm	10	0.9648096739334183
4	assay_norm	30	0.9906381602380014
4	assay_norm	50	0.9940498174808354
4	assay_norm	100	0.9965164709306735
4	assay_norm	500	0.9993406635081792
4	etoposide_median.TOF	1	0.7563312475134167
4	etoposide_median.TOF	3	0.9094256423236041
4	etoposide_median.TOF	5	0.9486581228286216
4	etoposide_median.TOF	10	0.9682689762340914
4	etoposide_median.TOF	30	0.9901105092404924
4	etoposide_median.TOF	50	0.9939564974719021
4	etoposide_median.TOF	100	0.9971660517163203
4	etoposide_median.TOF	500	0.9994044249177823
4	mtDNA_ratio	1	0.5319228064912019
4	mtDNA_ratio	3	0.7613739057718824
4	mtDNA_ratio	5	0.7491246658780097
4	mtDNA_ratio	10	0.8761824231852952
4	mtDNA_ratio	30	0.9540422055448224
4	mtDNA_ratio	50	0.9644424243783368
4	mtDNA_ratio	100	0.9820697589520818
4	mtDNA_ratio	500	0.9966717304144799
4	value	1	0.9045405772207121
4	value	3	0.9550813817446716
4	value	5	0.9694928439743212
4	value	10	0.9902926164775784
4	value	30	0.9961659712174782
4	value	50	0.9969073495523726
4	value	100	0.9985413805127943
