strain,delta_ctrl_fog-2_T2,delta_ctrl_mig-6_T2,delta_ctrl_pos-1_T2,delta_ctrl_rde-3_T2,delta_ctrl_ric-3_T2,delta_ctrl_rpn-12_T2,delta_ctrl_spe-19_T2,delta_ctrl_spe-43_T2,delta_ctrl_unc-39_T2,delta_ctrl_vha-5_T2,vst_ctrl_fog-2_T2,vst_ctrl_mig-6_T2,vst_ctrl_pos-1_T2,vst_ctrl_rde-3_T2,vst_ctrl_ric-3_T2,vst_ctrl_rpn-12_T2,vst_ctrl_spe-19_T2,vst_ctrl_spe-43_T2,vst_ctrl_unc-39_T2,vst_ctrl_vha-5_T2,log2fc_ctrl_fog-2_T2,log2fc_ctrl_mig-6_T2,log2fc_ctrl_pos-1_T2,log2fc_ctrl_rde-3_T2,log2fc_ctrl_ric-3_T2,log2fc_ctrl_rpn-12_T2,log2fc_ctrl_spe-19_T2,log2fc_ctrl_spe-43_T2,log2fc_ctrl_unc-39_T2,log2fc_ctrl_vha-5_T2,PC1_delta_ctrl,PC1_vst_ctrl,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"ED3005",-0.00169975831576155,-0.0013096159833472,0.00114067675610035,-0.000912146997270399,-0.00182089869217482,0.000786414580642802,0.00215037318861736,-0.00225858657215082,-0.00459354666683273,0.00828055409289606,-0.00793104120308985,-0.00605893240519886,0.00502598047850936,-0.00418460878603952,-0.00851912824595556,0.00348806776257932,0.00930421441229148,-0.0106719651325571,-0.0230208186419504,0.0326374819644994,-0.21100806329324,-0.159775304492634,0.126063404067316,-0.109386610010081,-0.227293394090253,0.088077731827691,0.229143201042665,-0.287714436391337,-0.661355566630154,0.733669458737288,-0.00110702326314655,-0.00419614371617992,-0.00317184683380917,-1.90366626079358
"ED3011",0.00775933768955825,0.0418135642908703,0.00739497643850041,0.00498691000752039,0.00192346259847911,0.0074574894139422,0.0156486221042757,0.0012850448121573,0.00433137376350134,0.00314012269003117,0.0308479231836281,0.123335152297285,0.0295469007838228,0.0206359371629431,0.00837171301973386,0.0297709426265703,0.0566363629217108,0.00565807560633153,0.0181069393112974,0.0133834237007017,0.699306210513557,2.12470075159585,0.673045355038121,0.486318907278686,0.207411764502511,0.677585001579629,1.17497718845405,0.141820646583058,0.431004099117396,0.324712084747535,-0.160045984577673,-0.150024066725651,-0.0119626525088932,-1.90547066168193
"ED3012",-0.000615599228208075,-0.00232735461052438,-0.00232735461052438,-0.00140605628401786,-0.00232735461052438,-0.000496876188776341,-0.00188518027579833,0.000210624675068593,-0.00194461365466463,-0.00232735461052438,-0.00687621815984876,-0.0482613963898436,-0.0482613963898436,-0.0179038372684091,-0.0482613963898436,-0.00546424231218161,-0.0272319046505275,0.00213829914101356,-0.0286963817963673,-0.0482613963898436,-0.441288568559783,-8.07262032081788,-8.07262032081788,-1.32879529666155,-8.07262032081788,-0.345016365943942,-2.37333567108722,0.124544451662415,-2.57727744378341,-8.07262032081788,0.0663998950532313,0.0747499328081846,0.00138326138810102,-2.63313743980706
"ED3048",0.00758344252021721,-0.0322797899859145,-0.00391888309026799,0.011414647786222,0.0101526439992681,0.0119478780679627,-0.00582440835507452,0.00625645047862425,-0.00178459708519539,-0.015338305102548,0.0203619799846676,-0.180646685091827,-0.0114333538296455,0.029938450994164,0.026829985293847,0.0312389646402511,-0.0172697402022925,0.0169430095188008,-0.0051179946573966,-0.0501168794908609,0.304353752400617,-11.8615074696468,-0.186673953917086,0.436717158712981,0.394443475239894,0.454213243182467,-0.286984607779272,0.25552169230464,-0.0820266617933321,-0.929719886654633,0.144917853544682,0.153052479887517,0.0261479417900189,-1.49106929948451
"ED3049",-0.0017356251888701,-0.0352503301343932,-0.0321211053641025,-0.00025778051499882,-0.00137112964382657,-0.00529622420560047,0.0044306866599821,0.0144839818551742,-0.00401485075255302,-0.00350249096537144,-0.00452961914656161,-0.137326019629836,-0.115637364749802,-0.000666548929217442,-0.00357010125922669,-0.0141513292080423,0.0111437196646266,0.0345755173076822,-0.0106347939010493,-0.00924609467433762,-0.0656029201949301,-3.36374925367598,-2.49581056809857,-0.00955692491235262,-0.0515761352128618,-0.210313750530415,0.155078215383675,0.455201553398548,-0.156548790692102,-0.135599259709266,0.132492208700215,0.13329059567694,0.0135559838144703,-1.4085524123074
"ED3073",0.00327449552628571,-0.01705397693665,-0.0154200719081999,-0.00300530031445495,0.00329873036256688,-0.00184503064303694,-0.00806298243171177,-0.00374709772181397,0.00110944363645386,-0.00954702420384023,0.0121005544988494,-0.130964936276528,-0.0905323295512184,-0.0121585286822022,0.0121863947114557,-0.00732561439372946,-0.0360014145326912,-0.0153521079518859,0.00421815593595459,-0.0442134919873337,0.253275415278543,-10.9413305928057,-3.37680460661061,-0.279517034552375,0.25499358439844,-0.165099005548237,-0.922897801303713,-0.357729364139469,0.0908828942026867,-1.18287614668853,0.128617330645649,0.142823812010017,0.0107993236168286,-1.76817432868076
"ED3077",0.00446474416843918,-0.00997108739607241,-0.00687724456542662,0.00393328866021882,0.00686661460508269,0.0134005074008255,0.00601625401437312,0.00494906666422045,0.000425668696505281,-0.00737898292506579,0.0204181494577314,-0.1000220257511,-0.0443709814933662,0.0181697766561469,0.0301050762664103,0.0534575370100562,0.026758389830876,0.0224318591186754,0.00211997380024277,-0.0490872906389226,0.533443451831748,-10.1675662025726,-1.6855652717314,0.479361368662119,0.75536085713825,1.22821402595812,0.680635176017948,0.581023536060363,0.0602593511754003,-1.94006050581134,0.115113739945271,0.133329247791593,0.00438011273786179,-2.00125747715852
"EG4946",-0.00131630304475824,-0.0078110107614964,-0.0098211187290887,-0.00154431019016268,-0.0038484577890822,0.00179057659279634,-0.00446867617298433,8.40531931665493e-05,-0.00436623882037646,0.00452945825379914,-0.00465439679367261,-0.030261331083239,-0.0394024423777948,-0.00547588741324337,-0.0140573125946302,0.00610878691142222,-0.0164621141689279,0.000292307270510078,-0.0160619233517046,0.0150175440960868,-0.0930038902006641,-0.667656090658128,-0.904573857229735,-0.10974114151594,-0.290762220746106,0.117596550427692,-0.343634557902536,0.0057400003869434,-0.334767301547277,0.280753701722467,0.0908746392579388,0.0876297655867855,0.000712434748195413,-1.67622618024209
"GXW1",0.00143147899804748,-0.000592645406441552,0.00632438529069117,-0.00155907080342896,0.00134542248104149,0.00205999265926743,0.00401492204127078,0.000998100858844926,6.83792724244132e-05,0.00342767264272571,0.00946281937318222,-0.00430538203251961,0.0357058522912223,-0.0119896801028087,0.00892527763839807,0.0132860051341702,0.0242121380853904,0.00671842157310659,0.000480221548868648,0.0210645825066247,0.358825586824412,-0.179365249813465,1.16837480989693,-0.530220349566152,0.339599852308867,0.491971774224964,0.841575467048887,0.259291728694758,0.0193302569274059,0.74516150096777,0.0161385272676633,0.0191457892758298,-0.00768543930622593,-2.29579537579474
"JU1088",-0.00267518167628336,-0.0399500149689368,-0.0237088701216134,0.00333031408358991,0.0108936025171884,0.00093887182531667,-0.00855986151760597,-0.000320520446959037,0.00271400736619554,-0.012725820736859,-0.00676359139567573,-0.16008775119917,-0.0705909697732982,0.00813922578878076,0.0256306116129695,0.00232474452912368,-0.0224651501949475,-0.000799301607790515,0.00665499363993127,-0.0344010542718533,-0.0946459459622877,-4.27232986054162,-1.19347737814238,0.109759224425426,0.331785342709333,0.0317974650861605,-0.327667647525523,-0.0110177776468625,0.0900668681532635,-0.518823672531887,0.154914778089216,0.156199914367429,0.0222256002374923,-1.37549589626688
