strain	mean_delta_freq	n_reps
JU2581	-0.003598906807746071	2
ECA2648	-0.0036026268248713616	2
ECA1298	-0.003906630020435535	2
JU782	-0.00401083721275608	2
JU2572	-0.00405701504934193	2
XZ2020	-0.004150802760502151	2
ECA923	-0.004218740447783075	2
GXW1	-0.004222626382183994	2
ECA1074	-0.004590743801197374	2
NIC166	-0.004702544424070025	2
ECA930	-0.004709704796510952	2
RC301	-0.0047443039746385305	2
ECA2672	-0.004958219418164791	2
JU1666	-0.004965467368922796	2
QX1233	-0.005326975991893978	2
ECA1281	-0.005465027928202804	2
QX1212	-0.005520254827909753	2
JU1652	-0.005663541428954778	2
NIC259	-0.0058131828170775585	2
JU2841	-0.005896720093231172	2
QG557	-0.006057046703399436	2
NIC236	-0.0061473734437447886	2
JU778	-0.0063877148301220614	2
ECA705	-0.006420090585446616	2
QG2828	-0.0065042584764198694	2
NIC1780	-0.006613226283894668	2
ECA1413	-0.007887165936219869	2
MY2713	-0.00858452492102128	2
ED3073	-0.008620049169390201	2
JU2586	-0.0088099334396924	2
ED3046	-0.00901901974545235	2
MY795	-0.009376606355116036	2
CB4932	-0.010083283489511017	2
NIC527	-0.010389209199862163	2
QW947	-0.011199677298499907	2
NIC511	-0.011283058034879858	2
NIC265	-0.011520833800453779	2
ED3077	-0.012193270163009272	2
JU2250	-0.01372002046567879	2
MY518	-0.014058140372606496	2
QG2850	-0.01497455767445767	2
CB4854	-0.014978795372217867	2
PX179	-0.015551992497598614	2
PB306	-0.024492944139905777	2
QG2835	-0.03074397894653838	2
ECA189	-0.03563187755135933	2
JU397	-0.053129859303616855	2
