metric	estimate	se	V1_additive	V2_epistatic	V3_residual	n_strains	n_markers
narrow_sense_h2_additive	0.31887725738623396	0.1607899997945481	5.3457244126903575e-5	0	1.1418482782605012e-4	213	90637
broad_sense_H2_additive_plus_epistatic	0.31887725738623396	0.1482236176842831	5.3457244126903575e-5	0	1.1418482782605012e-4	213	90637
