sample_name	parent1	parent2	timepoint	condition	contrast_to
S11	N2	XZ1516	1	HT115	
S17	N2	XZ1516	1	mig6	
S20	N2	XZ1516	1	par1	
S23	N2	XZ1516	1	rpn12	
S29	N2	XZ1516	2	HT115	S32,S35,S38,S41,S44
S32	N2	XZ1516	2	pos1	S35,S38,S41,S44
S35	N2	XZ1516	2	mig6	S38,S41,S44
S38	N2	XZ1516	2	par1	S41,S44
S41	N2	XZ1516	2	rpn12	S44
S44	N2	XZ1516	2	vha5	
